prompt_id,post_type,prompt_text
"AUT-01","authority_builder","I help [ICP] achieve [outcome]. Write a LinkedIn post using the 'Framework' structure where I share a 3-5 step system for [solving specific problem]. Make it tactical and specific. Include: A contrarian hook that challenges [common belief], Each step should have a brief 'why it matters' explanation, End with a specific result or metric. Keep it under 200 words. Use short sentences. No fluff."
"AUT-02","authority_builder","Create a 'Myth Buster' post where I debunk [common advice in your industry]. Hook: '[Popular quote or advice]' is terrible advice for [ICP]. Here's why: Then provide 3-4 reasons why this advice fails, with what actually works instead. Make it slightly controversial but backed by logic. 200 words max."
"AUT-03","authority_builder","I want to share my contrarian take on [topic in your industry]. Most people believe [common belief]. I believe [your perspective]. Write a post that: Opens with a bold statement, Explains why the common belief is flawed, Shares my alternative approach with 2-3 supporting points, Ends with a question to drive comments. Confident tone. 150-200 words."
"AUT-04","authority_builder","Turn this insight into a post: [your unique perspective or lesson learned]. Format it as: Pattern interrupt hook, 2-3 tactical points explaining the insight, How others can apply this, Engagement question. Keep it punchy. Under 200 words."
"AUT-05","authority_builder","I help [ICP] with [problem]. Write a post sharing 'The [Name] System' for [achieving specific outcome]. Include: 4-5 clear steps, One 'why this matters' statement per step, A result metric at the end. Make each step actionable. No generic advice. 200 words max."
"AUT-06","authority_builder","Create a 'comparison post' where I contrast [old way] vs [new way] of [achieving outcome]. Format: [Old Way]: Characteristic 1, Characteristic 2, Result: [typical outcome]. [New Way]: Characteristic 1, Characteristic 2, Result: [better outcome]. Hook should be: 'Most [audience] are still doing [old way]. Smart ones switched to [new way].' End with: 'Which one are you using?' 150-200 words."
"WIN-07","client_win","Write a client transformation post. Details: Client: [name or 'a client in X industry'], Starting point: [their pain point], Timeframe: [how long it took], Result: [specific outcome with numbers]. Format: Hook: [Client] went from [pain] to [result] in [time], 3-4 bullet points showing what we did, End with the metrics. Make it specific and credible. 150 words."
"WIN-08","client_win","I want to share a 'before/after' story about [client or personal experience]. Before: [struggling scenario]. After: [success scenario]. Write a post that: Opens with the transformation, Shares 2-3 things that changed, Ends with 'The difference? [one key thing]'. Keep it story-driven. 150-200 words."
"WIN-09","client_win","Create a case study post using this structure: '[Client/Company] had [specific problem]. We implemented [your solution/system]. Results: [Metric 1], [Metric 2], [Metric 3]. Here's what we did:' Then share 3-4 tactical steps. End with: 'Want to see how this would work for you? [soft CTA]'. 200 words max."
"WIN-10","client_win","Write a post about a client win that highlights [specific aspect of your service]. Use the 'timeline' format: [X time] ago: [where they were]. Today: [where they are now]. Here's exactly what changed: [3-4 key changes]. Make it feel authentic. Include a specific quote from the client if possible. 150-200 words."
"WIN-11","client_win","I helped [client] achieve [result] by fixing [one key thing]. Turn this into a post with: A hook about the surprising thing that made all the difference, Context about what wasn't working, The simple change we made, The result. Emphasize that big outcomes don't require complicated solutions. 150 words."
"WIN-12","client_win","Write a 'results thread' post where I break down exactly how we helped [client] get [result]. Format as: Hook: transformation statement, 'The strategy wasn't complicated. Here's the breakdown:', 5 tactical steps, Final results section with 3 metrics, Soft CTA. Make each step specific and actionable. 200 words max."
"CONT-13","controversy","Write a controversial take on [topic]. Hook: '[Common belief] is dead. Here's what actually works in [current year]:' Then share 3-4 reasons why the old way is broken and what the new approach should be. Make it bold but logical. End with a question that invites debate. 200 words max."
"CONT-14","controversy","Create a 'pattern interrupt' post. Everyone tells [ICP] to [common advice]. They're wrong. Here's why: [3-4 reasons]. Here's what to do instead: [your alternative]. Confident, slightly edgy tone. 150-200 words."
"CONT-15","controversy","Write a post challenging [industry norm or popular strategy]. Use this structure: Bold opening: 'Unpopular opinion: [your take]', Why most people get this wrong (2-3 points), What actually works (your approach), End with: 'Disagree? Let me know why'. Make it thought-provoking. 200 words."
"CONT-16","controversy","I want to call out [common mistake in your industry]. Format: '[X%] of [target audience] are [doing this wrong thing]. It's costing them [specific outcome]. Here's what they should do instead:' Then share 3 corrections with brief explanations. Direct, no-nonsense tone. 150 words."
"CONT-17","controversy","Create a 'listicle with controversy' post. Title: '[Number] unpopular truths about [topic]:' For each point: 1. [Contrarian statement] (Why most people think the opposite and why they're wrong.) End with: 'Which one triggered you?' Make each point genuinely contrarian, not just 'hot takes.' 200 words max."
"CONT-18","controversy","Write a post about why [popular tactic/tool/strategy] doesn't work for [ICP]. Hook: 'Everyone's obsessed with [thing]. But for [audience], it's a waste of time.' Share: Why it seems appealing, Why it actually fails for your audience, What works better. End with a polarizing question. 150-200 words."
"CONT-19","controversy","I want to challenge the idea that [common belief]. Write a post that: Opens with: 'The biggest lie in [industry]: [belief]', Explains why this belief is harmful, Shares what the truth actually is (with 2-3 supporting points), Ends with: 'Change my mind'. Provocative but professional. 200 words."
"MIS-20","mistake","Write a 'confession' style post. Hook: 'I wasted [time/money] on [thing] before I realized [key insight].' Share: What I was doing wrong, What I learned, How I do it now, The result. End with: 'Don't make the same mistake.' Vulnerable but valuable. 150-200 words."
"MIS-21","mistake","Create a 'mistake breakdown' post. 'I made every mistake possible with [topic]. Here's what I learned (so you don't have to):' Mistake 1: [what I did wrong], What actually works: [solution]. [Repeat for 3-4 mistakes]. The bottom line: [key takeaway]. End with: 'Which mistake have you made?' 200 words max."
"MIS-22","mistake","I want to share the [number] biggest mistakes [ICP] make with [specific topic]. For each mistake: What they're doing wrong, Why it's hurting them, What to do instead. Keep it tactical and specific. End with a question. 200 words."
"MIS-23","mistake","Write a personal story post about [mistake you made]. Use this structure: Hook: One sentence about the mistake, Context: What led to it, The moment of realization, The lesson, How to avoid it. Make it relatable. 150-200 words."
"MIS-24","mistake","Create a post about the #1 mistake [ICP] make when trying to [achieve goal]. Format: 'The biggest mistake I see [audience] make: [mistake]. Here's why it's killing their [desired outcome]: [2-3 explanations]. Here's what to do instead: [solution]'. Direct and helpful. 150 words."
"MIS-25","mistake","I want to write about [common mistake] that seems smart but is actually sabotaging [audience]. Hook: 'This seems like good advice: [the mistake]. It's not. Here's why it's backfiring:' Share 3 reasons why this 'good advice' causes problems and what actually works. 150-200 words."
"MIS-26","mistake","Write a 'timeline of mistakes' post. Format: 'My journey with [topic] in 3 mistakes: Mistake 1 ([timeframe]): [what I did wrong + lesson], Mistake 2 ([timeframe]): [what I did wrong + lesson], Mistake 3 ([timeframe]): [what I did wrong + lesson]. Today: [where I am now because of these lessons]'. Personal, reflective tone. 200 words max."
"AUD-27","audit","Write an 'audit post.' 'I just reviewed [X number] of [target audience's] [profiles/strategies/websites]. [Y%] are making the same [number] mistakes. Here's what's costing you [desired outcome]:' List 3-4 specific mistakes with brief explanations of why they matter. End with: 'Want me to audit yours? [soft CTA]'. 200 words max."
"AUD-28","audit","Create a post where I analyze [common thing in your industry]. Hook: 'I spent [timeframe] analyzing [X number] of [thing]. [Y number] patterns kept showing up.' Share 3-4 patterns with: What you noticed, Why it matters, What to do about it. Data-driven tone. 200 words."
"AUD-29","audit","Write a 'call-out' post about [common problem you see]. 'I see this mistake everywhere: [Specific thing people are doing wrong]. It's costing [audience] [specific outcome]. Here's what to do instead:' Share 2-3 corrections with tactical advice. End with offer to help. 150 words."
"AUD-30","audit","I want to share observations from [X number] of [sales calls/audits/consultations]. Format: 'After [doing X] with [Y number] [target audience], here's what I've learned: 1. [Observation + insight], 2. [Observation + insight], 3. [Observation + insight]. The pattern? [Key takeaway]'. Professional, insights-driven. 200 words max."
"AUD-31","audit","Create a post critiquing [common practice in your industry]. Hook: '[X%] of [audience] are [doing this thing]. It's the wrong approach.' Explain: Why they're doing it, Why it doesn't work, What works better. End with: 'Which approach are you using?' 150-200 words."
"AUD-32","audit","Write a post about the [number] red flags you see in [target audience's] [profiles/strategies/content]. For each red flag: What it is, Why it's a problem, Quick fix. End with offer to help them fix it. 200 words."
"AUD-33","audit","I analyzed [specific aspect of your industry/platform]. Turn this into a post: '[Shocking finding] about [topic]. But here's what nobody tells you: [counterintuitive insight]. After analyzing [X number] of [thing], here's what actually matters: [3-4 tactical points]'. Data + insight format. 200 words max."
"HOW-01","how_to","I help [ICP] achieve [outcome]. Write a LinkedIn post using the 'Framework' structure where I share a 3-5 step system for [solving specific problem]. Make it tactical and specific. Include: A contrarian hook that challenges [common belief], Each step should have a brief 'why it matters' explanation, End with a specific result or metric. Keep it under 200 words. Use short sentences. No fluff."
"HOW-02","how_to","Create a 'Myth Buster' post where I debunk [common advice in your industry]. Hook: '[Popular quote or advice]' is terrible advice for [ICP]. Here's why: Then provide 3-4 reasons why this advice fails, with what actually works instead. Make it slightly controversial but backed by logic. 200 words max."
"HOW-03","how_to","I want to share my contrarian take on [topic in your industry]. Most people believe [common belief]. I believe [your perspective]. Write a post that: Opens with a bold statement, Explains why the common belief is flawed, Shares my alternative approach with 2-3 supporting points, Ends with a question to drive comments. Confident tone. 150-200 words."
"HOW-04","how_to","Turn this insight into a post: [your unique perspective or lesson learned]. Format it as: Pattern interrupt hook, 2-3 tactical points explaining the insight, How others can apply this, Engagement question. Keep it punchy. Under 200 words."
"HOW-05","how_to","I help [ICP] with [problem]. Write a post sharing 'The [Name] System' for [achieving specific outcome]. Include: 4-5 clear steps, One 'why this matters' statement per step, A result metric at the end. Make each step actionable. No generic advice. 200 words max."
"HOW-06","how_to","Create a 'comparison post' where I contrast [old way] vs [new way] of [achieving outcome]. Format: [Old Way]: Characteristic 1, Characteristic 2, Result: [typical outcome]. [New Way]: Characteristic 1, Characteristic 2, Result: [better outcome]. Hook should be: 'Most [audience] are still doing [old way]. Smart ones switched to [new way].' End with: 'Which one are you using?' 150-200 words."
